Nombre de la Institución Educativa|Provincia|Cantón|Sostenimiento|Jornada|Número de estudiantes|Número de docentes
LIC JOSÉ VICENTE MASACHE CUEVA|LOJA|SOZORANGA|Fiscal|Matutina|29|1
EL PORVENIR|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
NUEVA ESPERANZA|LOJA|SOZORANGA|Fiscal|Matutina y Vespertina|0|0
EDUCAR PARA EL FUTURO|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
ESTRELLAS DEL FUTURO|LOJA|SOZORANGA|Fiscal|Matutina|0|1
REINA DEL CARMEN|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
EDUCAR PARA EL FUTURO|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
LIC GONZALO VASQUEZ SAMANIEGO|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
ABEL CELI|LOJA|SOZORANGA|Fiscal|Matutina|26|2
VIRGINIA LUDEÑA ESCUDERO|LOJA|SOZORANGA|Fiscal|Matutina|23|4
JOSE VICENTE TRUJILLO|LOJA|SOZORANGA|Fiscal|Matutina|9|2
LUIS EMILIANO FLORES LUZURIAGA|LOJA|SOZORANGA|Fiscal|Matutina|7|1
6 DE DICIEMBRE|LOJA|SOZORANGA|Fiscal|Matutina|21|2
CENTRO ARTESANAL EDUARDO ANDRADE JARAMILLO|LOJA|SOZORANGA|Fiscal|Vespertina|16|2
HERMINIA SOTO CELI DE ARIAS|LOJA|SOZORANGA|Fiscal|Matutina|15|2
QUIJOS|LOJA|SOZORANGA|Fiscal|Matutina|6|1
FRANCISCO HERBOLARIO SOLANO|LOJA|SOZORANGA|Fiscal|Matutina|4|2
HERNANDO DE MAGALLANES|LOJA|SOZORANGA|Fiscal|Matutina|6|1
ANGELA LUZURIAGA|LOJA|SOZORANGA|Fiscal|Matutina|12|1
ZOILO RODRIGUEZ|LOJA|SOZORANGA|Fiscal|Matutina|41|8
ERNESTO PINTO CASTILLO|LOJA|SOZORANGA|Fiscal|Matutina|22|4
SEBASTIAN VALDIVIEZO|LOJA|SOZORANGA|Fiscal|Matutina|10|1
EGDA MARIA GUERRERO LEON|LOJA|SOZORANGA|Fiscal|Matutina|11|2
GONZALO PAZ|LOJA|SOZORANGA|Fiscal|Matutina|4|1
DOLORES CELI|LOJA|SOZORANGA|Fiscal|Matutina|63|10
LEOPOLDO SAMANIEGO|LOJA|SOZORANGA|Fiscal|Matutina|15|2
ISAURO JARAMILLO MORA|LOJA|SOZORANGA|Fiscal|Matutina|18|1
AGUSTIN MOSQUERA CRESPO|LOJA|SOZORANGA|Fiscal|Matutina|7|2
18 DE NOVIEMBRE|LOJA|SOZORANGA|Fiscal|Matutina y Nocturna|212|24
HECTOR FAUSTINO JARAMILLO VALDIVIESO|LOJA|SOZORANGA|Fiscal|Matutina|10|1
CENTRO OCUPACIONAL DE MANUALIDADES DIVINO NIÑO|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
HERMANO MIGUEL|LOJA|SOZORANGA|Fiscal|Matutina|27|3
JOSE MARIA RIOFRIO VALDIVIEZO|LOJA|SOZORANGA|Fiscal|Matutina|100|8
MANUEL SAMANIEGO PEÑA|LOJA|SOZORANGA|Fiscal|Matutina|13|2
CIUDAD DE BAÑOS|LOJA|SOZORANGA|Fiscal|Matutina|9|1
TRES DE MAYO|LOJA|SOZORANGA|Fiscal|Matutina|12|1
20 DE DICIEMBRE|LOJA|SOZORANGA|Fiscal|Matutina|15|3
BARTOLOME RUIZ|LOJA|SOZORANGA|Fiscal|Matutina|22|2
ALBERTO MENA HIDALGO|LOJA|SOZORANGA|Fiscal|Matutina|21|2
PADRE RICARDO FERNANDEZ GUAMAN|LOJA|SOZORANGA|Fiscal|Matutina|4|1
SEGUNDO CORONEL SOTO|LOJA|SOZORANGA|Fiscal|Matutina|20|1
ESMERALDAS|LOJA|SOZORANGA|Fiscal|Matutina|43|6
NUEVO PORVENIR|LOJA|SOZORANGA|Fiscal|Vespertina|0|1
DR. OTTO AROSEMENA GOMEZ|LOJA|SOZORANGA|Fiscal|Matutina|20|4
ESCUELA BENIGNO MALO|LOJA|SOZORANGA|Fiscal|Matutina|11|2
FLODUARDO LEON ALBAN|LOJA|SOZORANGA|Fiscal|Matutina|30|2
DR. ANTONIO TRUJILLO|LOJA|SOZORANGA|Fiscal|Matutina|6|2
SALUSTINO MEDARDO VIÑAN|LOJA|SOZORANGA|Fiscal|Matutina|8|1
EMILIANO ORTEGA ESPINOZA|LOJA|SOZORANGA|Fiscal|Matutina|13|4
26 DE SEPTIEMBRE|LOJA|SOZORANGA|Fiscal|Matutina|9|2
LUIS FELIPE VILLAMIL|LOJA|SOZORANGA|Fiscal|Matutina|1|1
PERPETUO SOCORRO|LOJA|SOZORANGA|Fiscal|Matutina|11|3
VIRGILIO ABARCA|LOJA|SOZORANGA|Fiscal|Matutina|62|9
ALTAR|LOJA|SOZORANGA|Fiscal|Matutina|10|2
3 DE OCTUBRE|LOJA|SOZORANGA|Fiscal|Matutina|13|1
LCDO AUGUSTO IZQUIERDO|LOJA|SOZORANGA|Fiscal|Matutina|10|2
GEOFRE  ABDON  LUZURIAGA|LOJA|SOZORANGA|Fiscal|Matutina|32|5
MANUEL AGUSTIN AGUIRRE|LOJA|SOZORANGA|Fiscal|Matutina|77|11
DR. MIGUEL ANGEL AGUIRRE SANCHEZ|LOJA|SOZORANGA|Fiscal|Matutina|10|1
VICTOR MIGUEL VASQUEZ FLORES|LOJA|SOZORANGA|Fiscal|Matutina|6|1
MATIAS ESPINOSA AYALA|LOJA|SOZORANGA|Fiscal|Matutina|18|2
LUIS CARPIO MORA|LOJA|SOZORANGA|Fiscal|Matutina|11|2
VILLONACO|LOJA|SOZORANGA|Fiscal|Matutina|3|1
ANTONIO JOSE DE SUCRE|LOJA|SOZORANGA|Fiscal|Matutina|7|1
JUAN FRANCISCO PINZON|LOJA|SOZORANGA|Fiscal|Matutina|33|3
LIC. NELSON GARCIA S|LOJA|SOZORANGA|Fiscal|Matutina|14|1
CAYO MELITÓN CASTILLO SOLANO|LOJA|SOZORANGA|Fiscal|Matutina|19|1
LIC GONZALO A VASQUEZ S|LOJA|SOZORANGA|Fiscal|Matutina|6|2
COLEGIO TECNICO FORESTAL DR ZOILO RODRIGUEZ|LOJA|SOZORANGA|Fiscal|Matutina|93|12
JESUS DEL  GRAN PODER|LOJA|SOZORANGA|Fiscal|Matutina|0|0
REINA DEL CISNE|LOJA|SOZORANGA|Fiscal|Matutina y Vespertina|23|1
DAVID VICENTE NAULA|LOJA|ZAPOTILLO|Fiscal|Matutina|3|1
JOSE FELIX DE VALDIVIESO|LOJA|ZAPOTILLO|Fiscal|Matutina|31|3
ESCUELA FISCAL MIXTA GENERAL  MARIANO VALDIVIESO|LOJA|ZAPOTILLO|Fiscal|Matutina|24|3
ZOILA LUZ GONZALES|LOJA|ZAPOTILLO|Fiscal|Matutina|8|1
CENTRO DE FORMACION ARTESANAL JOSE ANTONIO CAMPOS|LOJA|ZAPOTILLO|Fiscal|Vespertina y Nocturna|164|11
HECTOR MANUEL ROJAS|LOJA|ZAPOTILLO|Fiscal|Matutina|13|1
MACAS|LOJA|ZAPOTILLO|Fiscal|Matutina|13|1
JOSE ANTONIO CAMPOS|LOJA|ZAPOTILLO|Fiscal|Matutina|330|17
MAYAYCU|LOJA|ZAPOTILLO|Fiscal|Matutina|7|1
DARIO GUEVARA|LOJA|ZAPOTILLO|Fiscal|Matutina|8|1
REINA MATERNAL DE LA FRONTERA|LOJA|ZAPOTILLO|Fiscomisional|Matutina|219|11
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXT  PADRE FRANCO AGUIRRE|LOJA|ZAPOTILLO|Fiscomisional|Matutina|147|9
AMAZONAS|LOJA|ZAPOTILLO|Fiscal|Matutina|13|2
RED EDUCATIVA CEIBA CHICA|LOJA|ZAPOTILLO|Fiscal|Matutina|180|15
ESCUELA ESPARTA|LOJA|ZAPOTILLO|Fiscal|Matutina|6|1
CAPITAN PEDRO BOUGUER|LOJA|ZAPOTILLO|Fiscal|Matutina|18|1
COLEGIO NACIONAL ZAPOTILLO|LOJA|ZAPOTILLO|Fiscal|Matutina|302|22
SARGENTO ALBERTO PERDOMO |LOJA|ZAPOTILLO|Fiscal|Matutina|7|1
VIRGEN FRONTERIZA|LOJA|ZAPOTILLO|Fiscal|Matutina|18|2
PIO DE VALDIVIESO|LOJA|ZAPOTILLO|Fiscal|Matutina|14|1
ARTURO CORDOVA GRANDA|LOJA|ZAPOTILLO|Fiscal|Matutina|25|1
SGTO ANGEL DAVILA CHAMBA|LOJA|ZAPOTILLO|Fiscal|Matutina|12|1
ESCUELA CIUDAD DE CARIAMANGA|LOJA|ZAPOTILLO|Fiscal|Matutina|9|1
ESCUELA SOLDADO FRANCISCO A. CORONEL|LOJA|ZAPOTILLO|Fiscal|Matutina|93|6
CARACAS|LOJA|ZAPOTILLO|Fiscal|Matutina|21|2
ALBERT EINSTEIN|LOJA|ZAPOTILLO|Fiscal|Matutina|36|1
JOSE BALDOR|LOJA|ZAPOTILLO|Fiscal|Matutina|15|2
RIO GUAYLLABAMBA|LOJA|ZAPOTILLO|Fiscal|Matutina|4|1
ESCUELA PINTAC|LOJA|ZAPOTILLO|Fiscal|Matutina|45|4
ESCUELA ABDON ARMAS|LOJA|ZAPOTILLO|Fiscal|Matutina|19|1
JOSE MIGUEL VALENCIA|LOJA|ZAPOTILLO|Fiscal|Matutina|3|1
LUIS FELIPE  BORJA|LOJA|ZAPOTILLO|Fiscal|Matutina|103|8
23 DE ENERO|LOJA|ZAPOTILLO|Fiscal|Matutina|11|1
NAZACOTA PUENTO|LOJA|ZAPOTILLO|Fiscal|Matutina|30|3
VICENTE VALDIVIESO MORA|LOJA|ZAPOTILLO|Fiscal|Matutina|16|1
DOLORES VEINTIMILLA DE GALINDO|LOJA|ZAPOTILLO|Fiscal|Matutina|5|1
COLEGIO GALO ROLANDO VELEZ RIVERA|LOJA|ZAPOTILLO|Fiscal|Matutina|168|12
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION MANGAHURQUILLO|LOJA|ZAPOTILLO|Fiscomisional|Matutina|112|5
BATALLON CAYAMBE|LOJA|ZAPOTILLO|Fiscal|Matutina|25|2
27 DE FEBRERO|LOJA|ZAPOTILLO|Fiscal|Matutina|39|3
PRIMERO DE MAYO|LOJA|ZAPOTILLO|Fiscal|Matutina|29|2
GENERAL FRANCISCO ROBLES|LOJA|ZAPOTILLO|Fiscal|Matutina|29|2
UNIDAD EDUCATIVA A DISTANCIA DE LOJA EXTENSION JUAN PABLO II|LOJA|ZAPOTILLO|Fiscomisional|Matutina|51|4
MANGAHURCO|LOJA|ZAPOTILLO|Fiscal|Matutina|48|13
GREGORIO MARAÑON|LOJA|ZAPOTILLO|Fiscal|Matutina|74|8
PLAZA LEDESMA|LOJA|ZAPOTILLO|Fiscal|Matutina|34|3
NEVADO COTACACHI|LOJA|ZAPOTILLO|Fiscal|Matutina|8|1
CARLOS ALBERTO SANCHEZ GALLO|LOJA|ZAPOTILLO|Fiscal|Matutina|17|1
AMERICA ESCUELA FISCAL|LOJA|ZAPOTILLO|Fiscal|Matutina|13|1
ORIENTE|LOJA|ZAPOTILLO|Fiscal|Matutina|9|1
UNIDAD EDUCATIVA A DISTANCIA DE LOJA TOMAS MONTOYA  CAZADEROS|LOJA|ZAPOTILLO|Fiscomisional|Matutina|26|4
LORENZO DE HEREDIA|LOJA|ZAPOTILLO|Fiscal|Matutina|18|3
SLDO SEGUNDO NARVAEZ|LOJA|ZAPOTILLO|Fiscal|Matutina|12|1
BARON DE HUMBOLTH|LOJA|ZAPOTILLO|Fiscal|Matutina|47|7
NICOLAS BURNEO ARIAS|LOJA|ZAPOTILLO|Fiscal|Matutina|13|1
MANUEL FERNANDO GRANDA|LOJA|ZAPOTILLO|Fiscal|Matutina|10|1
MANUEL GONZALO BUSTAMANTE BUSTAMANTE|LOJA|ZAPOTILLO|Fiscal|Matutina|19|1
BERNARDINA MONCADA MONCADA|LOJA|ZAPOTILLO|Fiscal|Matutina|17|1
CABO DANIEL MARTINEZ|LOJA|ZAPOTILLO|Fiscal|Matutina|18|2
MARIA GENOVEVA ORTIZ|LOJA|ZAPOTILLO|Fiscal|Matutina|11|1
GLORIA VICENTA CHIRIBOGA|LOJA|ZAPOTILLO|Fiscal|Matutina|9|1
NICOLAS BURNEO ARIAS|LOJA|ZAPOTILLO|Fiscal|Matutina|25|3
SEIS DE DICIEMBRE|LOJA|ZAPOTILLO|Fiscal|Matutina|12|2
30 DE AGOSTO|LOJA|ZAPOTILLO|Fiscal|Matutina|6|1
BATALLON GENERAL CORDOVA|LOJA|ZAPOTILLO|Fiscal|Matutina|43|4
LOS ANDES|LOJA|ZAPOTILLO|Fiscal|Matutina|13|2
4 DE AGOSTO|LOJA|ZAPOTILLO|Fiscal|Matutina|13|1
ZAMORA|LOJA|ZAPOTILLO|Fiscal|Matutina|77|7
VOLUNTAD Y DESARROLLO|LOJA|ZAPOTILLO|Fiscal|Vespertina|11|0
VICTOR HUGO ENCALADA|LOJA|ZAPOTILLO|Fiscal|Matutina|5|1
REPUBLICA DEL SALVADOR|LOJA|ZAPOTILLO|Fiscal|Matutina|8|1
ESCUELA 22 DE JULIO|LOJA|ZAPOTILLO|Fiscal|Matutina|8|1
PUERTO RICO|LOJA|ZAPOTILLO|Fiscal|Matutina|6|1
ING.JULIO GONZALO HIDALGO|LOJA|ZAPOTILLO|Fiscal|Matutina|75|8
GABRIEL GARCIA MARQUEZ|LOJA|ZAPOTILLO|Fiscal|Matutina|3|1
WILFRIDO VIDAL SANCHEZ|LOJA|ZAPOTILLO|Fiscal|Matutina|23|2
LUIS CARPIO MORA|LOJA|ZAPOTILLO|Fiscal|Matutina|2|1
ARENILLAS|LOJA|ZAPOTILLO|Fiscal|Matutina|6|1
JUAN HERMES REQUENA RAMIREZ|LOJA|ZAPOTILLO|Fiscal|Matutina|12|1
DR. TEODORO SANCHEZ|LOJA|ZAPOTILLO|Fiscal|Matutina|3|1
ZAPOTILLO|LOJA|ZAPOTILLO|Fiscal|Matutina|5|1
FRONTERA SUR|LOJA|ZAPOTILLO|Fiscal|Matutina|10|1
FRANCISCO DE ORELLANA|LOJA|ZAPOTILLO|Fiscal|Matutina|100|11
CENTINELA DEL SUR|LOJA|ZAPOTILLO|Fiscal|Matutina|7|1
MANUEL  BEJARANO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|12|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXTEN SAN ISIDRO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscomisional|Matutina y Vespertina|47|6
PRIMARIA POPULAR SANTA CLARA |ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Vespertina|14|1
PRIMARIA POPULAR ZUMBI|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina y Vespertina|15|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXTEN ZUMBI|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscomisional|Matutina y Vespertina|80|6
AGUSTIN TSAMAREIN CHUMAPI|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|85|6
CANTON CHINCHIPE|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|7|1
GENERAL PINTAG|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|13|2
LUZ DE AMERICA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|27|3
BENIGNO MALO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|9|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH  EXT EL DORADO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscomisional|Matutina y Vespertina|83|6
REGIÓN AMAZONICA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|10|1
EMILIANO ORTEGA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|10|1
VICTOR EMILIO ESTRADA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|6|1
ANITA VILLAMIL ICAZA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|8|1
ALFREDO BAQUERIZO MORENO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|27|3
CAMILO PONCE ENRRIQUEZ|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|23|1
CIUDAD DE LATACUNGA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|373|18
ESCUELA 27 DE FEBRERO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|18|1
24 DE MAYO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|11|1
LA  CONDAMINE|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|37|3
FRAY CARLOS URIA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscomisional|Matutina|303|20
GENERAL EPICLACHIMA|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|250|17
ARCHIPIELAGO DE COLON|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|22|2
NUEVE DE OCTUBRE|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|52|4
HERMANO MIGUEL|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|118|7
ESPECIAL PADRE JUAN SOLIS|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|16|2
GONZALO ZALDUMBIDE|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|27|3
COLEGIO TECNICO AGROPECUARIO ZUMBI|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina y Nocturna|417|26
LUIS CORDERO CRESPO|ZAMORA CHINCHIPE|CENTINELA DEL CONDOR|Fiscal|Matutina|12|1
PRIMARIA POPULAR LA CHONTA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|37|1
LUZ MARINA GORDILLO CORDOVA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|4|1
ALEJANDRO ENCALADA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|24|2
12 DE FEBRERO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA EXT LA CHONTA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|21|4
GUAYAQUIL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|27|2
COLEGIO NACIONAL CHINCHIPE|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|10|9
ECUADOR|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
COLEGIO    DIEZ DE AGOSTO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|17|12
MARIA YOLANDA JAPON|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|15|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT EL HORCON|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|29|3
MORAIMA CARVAJAL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|24|2
CINCO DE ENERO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|12|1
PICHINCHA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
CIUDAD DE CUENCA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
ALFONSO COBOS RAMIREZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|4|1
LUIS G TUFINO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|44|5
JOSE VICENTE LEON|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|20|2
CIUDAD DE ZUMBA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|313|20
PRIMERO DE MAYO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|145|12
MANUEL RODRIGUEZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|5|1
ADELITA AREVALO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|14|1
JOSE DE VILLAMIL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
GEORGE ROJAS|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|10|1
BENJAMIN CARRION|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|42|4
PATRIA ECUATORIANA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|21|1
SEGUNDO ZAQUINAULA GARCÍA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|28|3
TITO CABRERA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|13|1
YAGUACHI|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|16|2
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMOTA CH EXT LA DIVERSION|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|77|6
BELLO HORIZONTE|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|13|1
REPUBLICA DE URUGUAY|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|11|1
FANNY CANGO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|5|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXTENSION ZUMBA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|137|6
TÉCNICO INDUSTRIAL ZUMBA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina y Nocturna|549|46
MERCEDES VALDIVIESO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|8|1
VICENTE PIEDRAHITA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|28|1
ERNESTO ALBAN|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|10|1
SEGUNDO TEODORO PAVON ROMERO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|49|5
LEON FEBRES CORDERO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|8|1
DIEZ DE AGOSTO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|9|1
PRIMARIA POPULAR BELLAVISTA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|20|1
MARIO PALTIN LAVANDA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|79|9
ANTONIO GRANDA CENTENO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|10|1
JAIME IZQUIERDO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|11|1
LUIS PASTEUR|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|53|2
YAGUARZONGO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina|259|11
CAPITAN EDMUNDO CHIRIBOGA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|5|1
MARIA ELIDA TROYA RODRIGUEZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|13|1
SOLDADO BYRON JIMENEZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|30|4
JUAN DE SALINAS|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|5|1
CHIMBORAZO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|59|5
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT GUARIMIZAL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|45|6
CENTRO   ARTESANAL ZUMBA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Nocturna|36|5
ESCUELA NOCTURNA ALFREDO PAREJA DIEZCANCECO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Nocturna|5|1
BRASIL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|192|11
COLEGIO TÉCNICO FISCAL MIXTO MANUELA SAENZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|286|22
MARISCAL SUCRE|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|12|1
MARIA FRANCISCA GUEVARA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|11|1
INGAPIRCA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|16|1
CIUDAD DE VILCABAMBA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|90|5
JUAN LEON MERA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|14|1
TARQUI|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|17|1
UNIDAD EDUC EXPERIMENTAL A DISTANCIA ZAMORA CH EXT LA CRUZ|ZAMORA CHINCHIPE|CHINCHIPE|Fiscomisional|Matutina y Vespertina|93|6
PEDRO VICENTE MALDONADO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|24|1
CABO MINACHO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|10|1
ESCUELA  ECUADOR AMAZONICO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|28|2
MARCO EDUARDO MARINO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|8|1
BELIZA  GARCIA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|5|1
SOBERANIA NACIONAL|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|3|1
JOSE MARTIN GARCIA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|7|1
COLEGIO TECNICO HEROES DE PAQUISHA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|75|11
TIWINTZA|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|19|1
REINO DE QUITO|ZAMORA CHINCHIPE|CHINCHIPE|Fiscal|Matutina|19|2
CIUDAD DEL PANGUI|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|18|1
PRIMARIA POPULAR EL OASIS|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Vespertina y Nocturna|13|1
RIO ZAMORA|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|13|1
CHUINT|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|15|1
EUGENIO ESPEJO|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|25|2
JOSE ANKUASH|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|11|1
TUTIN|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|73|5
ANDRES NAYAP|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|11|1
PÁNKI|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|25|1
SAANT|ZAMORA CHINCHIPE|EL PANGUI|Fiscal|Matutina|35|3
